ID,YEAR,DAY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,LOCATION_NAME,latitude,longitude,REGION_CODE,MAXIMUM_WATER_HEIGHT
4250,1959,7,,,NORWAY,NORTHERN NORWAY,69.817,20.917,73,4
1892,1959,17,33,7.3,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.5,156,82,1
2371,1959,18,5,7.5,USA,HEGBEN LAKE, MONTANA,44.712,-111.215,88
1893,1959,26,10,6.7,JAPAN,SANRIKU,37.5,143.2,85,0.11
1896,1960,13,160,7.8,PERU,S. PERU,-15.75,-72.75,89,5.7
1897,1960,29,,6.8,MOROCCO,MOROCCO,30.5,-9.5,77,
1898,1960,20,20,7.5,JAPAN,SANRIKU,39.8,143.4,85,1
1899,1960,23,20,6.7,JAPAN,SANRIKU,39.4,143.7,85,0.75
1901,1960,21,35,8.2,CHILE,CENTRAL CHILE,-37.872,-73.243,89,0.3
1902,1960,22,33,9.5,CHILE,SOUTHERN CHILE,-38.143,-73.407,89,25
1903,1960,24,,6.7,CHILE,SOUTHERN CHILE,,,89,
1904,1960,11,33,6.6,PAPUA NEW GUINEA,SOLOMON SEA,-9.4,152.3,82,
1905,1960,29,30,6.7,JAPAN,SANRIKU,40.3,142.5,85,0.3
1906,1960,1,55,7.4,CHILE,SOUTHERN CHILE,-38.5,-75.1,89,
1907,1960,20,93,6.8,PERU,N. PERU,-6.8,-80.7,89,9
1910,1961,16,40,6.8,JAPAN,KASHIMA, JAPAN,36,142.3,85
1911,1961,16,20,6.4,JAPAN,KASHIMA, JAPAN,36,141.9,85
1912,1961,16,20,6.5,JAPAN,KASHIMA, JAPAN,36.2,141.9,85
1913,1961,12,80,6.6,RUSSIA,S. KURIL ISLANDS,43.2,147.9,86,1
1914,1961,26,74,7.6,JAPAN,SEIKAIDO,31.6,131.8,85,0.65
1915,1961,18,,,SOLOMON ISLANDS,HONIARA, GUADALCANAL,-9.43,159.95,82
1917,1961,23,,6.5,TURKEY,ASIA MINOR,36.7,28.5,50,
1918,1961,6,,,ITALY,AEGEAN SEA,,,50,0.9
2385,1961,16,120,6.5,COLOMBIA,NORTHEASTERN,8.9,-73.4,74,
1920,1961,18,60,6.6,JAPAN,RYUKYU ISLANDS,29.6,131.8,85,0.2
1921,1961,23,45,7.3,VANUATU,VANUATU ISLANDS,-18.421,168.411,82,0.9
1923,1961,1,25,6.4,SOLOMON ISLANDS,SOLOMON SEA,-9.849,160.614,82,0.9
1924,1961,11,80,7,JAPAN,SE. HOKKAIDO ISLAND,42.9,145.6,85,0.1
1926,1961,18,15,6.5,CHILE,CENTRAL CHILE,-36.7,-73,89,
1927,1961,15,60,6.9,JAPAN,SE. HOKKAIDO ISLAND,42.7,145.7,85,0.1
5631,1962,11,33,6.1,CROATIA,DALMATIAN COASTS,43.3,17.1,50,0.04
1928,1962,12,35,6.8,PANAMA,COSTA RICA-PANAMA,8.008,-82.757,88,0.1
1929,1962,12,25,7.2,JAPAN,SANRIKU,38.073,142.741,85,1
1930,1962,23,60,7,JAPAN,SE. HOKKAIDO ISLAND,42.2,143.9,85,0.1
1931,1962,11,40,7,MEXICO,S. MEXICO,17.2,-99.6,88,0.81
1932,1962,19,33,7.2,MEXICO,S. MEXICO,17.2,-99.5,88,0.34
1933,1962,21,60,5.7,JAPAN,OFF COAST OF HONSHU ISLAND,41.8,142.4,85,0.1
3391,1962,28,,4.5,GREECE,NORTH AEGEAN SEA,39.8,25,50,
1937,1962,21,33,6.5,USA,FOX ISLANDS, ALEUTIAN ISLANDS, AK,52.47,-168.54
1939,1963,7,,,GREECE,CORINTH GULF,38.31,22.02,50,6
1940,1963,13,47,7.3,TAIWAN,E. TAIWAN-RYUKYU ISLANDS,24.4,122.1,84,0.2
5453,1963,28,,,CANADA,GRAHAM ISLAND, BRITISH COLUMBIA,54,-132.25,88
1942,1963,30,,,INDONESIA,LESSER SUNDA: BALI: AGUNG VOLCANO,8.342,115.508,83,
4290,1963,18,,6.1,TURKEY,MARMARA SEA,40.75,29,50,
1945,1963,24,75,7,PERU,CENTRAL PERU,-10.385,-78.022,89,
5569,1963,9,,,ITALY,VAJONT DAM, VAJONT RIVER,46.267,12.329,50
1946,1963,12,48,7.1,RUSSIA,S. KURIL ISLANDS,44.426,149.272,86,0.12
1947,1963,13,13,8.5,RUSSIA,S. KURIL ISLANDS,44.772,149.798,86,4.5
1948,1963,20,28,7.9,RUSSIA,S. KURIL ISLANDS,44.772,150.563,86,15
1949,1963,16,64,6.6,INDONESIA,JAVA,-6.4,105.4,60,
1950,1963,18,46,7.2,TONGA,TONGA TRENCH,-24.8,-176.6,81,
1952,1964,20,,,USA,GULF OF ALASKA, AK,,,87
1954,1964,28,33,9.2,USA,PRINCE WILLIAM SOUND, AK,61.017,-147.648,87
1956,1964,2,100,7,INDONESIA,OFF NORTHWEST COAST OF INDONESIA,5.8,95.4,60,
1957,1964,7,30,6.9,JAPAN,NW. HONSHU ISLAND,40.3,139,85,0.6
5422,1964,7,,6.6,JAPAN,NW. HONSHU ISLAND,40.4,139,85,
2368,1964,19,0,,USA,LONG ISLAND, NY,40.8,-73.1,75
1959,1964,16,40,7.5,JAPAN,NW. HONSHU ISLAND,38.65,139.2,85,5.8
1960,1964,24,15,6.8,RUSSIA,S. KURIL ISLANDS,47.159,153.876,86,0.08
1961,1964,17,45,7.6,PAPUA NEW GUINEA,NEW BRITAIN,-5.7,150.7,82,0.05
1962,1964,10,40,6.3,JAPAN,NW. HONSHU ISLAND,40.4,138.9,85,0.1
1963,1965,24,6,7.6,INDONESIA,SANANA ISLAND,-2.4,126.1,83,
1964,1965,4,36,8.7,USA,RAT ISLANDS, ALEUTIAN ISLANDS, AK,51.29,178.55
5470,1965,19,,,CHILE,SOUTHERN CHILE,-41.755,-72.396,89,60
1965,1965,23,36,7,CHILE,NORTHERN CHILE,-25.67,-70.63,89,
3042,1965,9,18,6.3,GREECE,AEGEAN SEA,39.4,24,50,
1966,1965,22,58,6,CHILE,CENTRAL CHILE,-31.81,-71.26,89,
1967,1965,30,20,7.6,USA,RAT ISLANDS, ALEUTIAN ISLANDS, AK,50.32,177.93
5505,1965,19,36,6,JAPAN,AICHI PREFECTURE,34.9,139,85,0.1
1970,1965,11,,7.2,RUSSIA,S. KURIL ISLANDS,44.7,148.7,86,0.1
1971,1965,2,40,6.5,USA,FOX ISLANDS, ALEUTIAN ISLANDS, AK,53.03,-167.55
1972,1965,6,18,6.3,GREECE,NORTH CORINTH GULF,38.267,22.3,50,
1973,1965,11,13,7,VANUATU,VANUATU ISLANDS,-15.8,167.2,82,7
1974,1965,13,33,7.3,VANUATU,VANUATU ISLANDS,-15.9,166.8,82,2
1975,1965,23,,7.8,MEXICO,MEXICO,16.3,-95.8,88,0.4
1977,1965,28,,,PHILIPPINES,TAAL, LUZON ISLAND,14.002,120.993,84
1979,1965,3,28,6.5,CHILE,SOUTHERN CHILE,-42.9,-75.13,89,
1980,1966,12,48,7.6,TAIWAN,E. TAIWAN-RYUKYU ISLANDS,24.1,122.6,84,0.1
4242,1966,8,,,NORWAY,EASTERN NORWAY,59.6,10.633,73,
1981,1966,15,31,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.343,160.883,82,0.2
2302,1966,12,,5.5,RUSSIA,BLACK SEA,44.75,37,40,0.2
1982,1966,17,38,8.1,PERU,CENTRAL PERU,-10.748,-78.638,89,3
1983,1966,28,,,SOLOMON ISLANDS,MOHAWK BAY, SANTA CRUZ ISLANDS,-10.28,166.23,82
1984,1966,28,47,7.8,CHILE,NORTHERN CHILE,-25.5,-70.7,89,0.42
2425,1966,31,83,7.8,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-11.893,166.445,82,2
3033,1966,31,23,7.2,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-12.334,166.684,82,0.8
5478,1966,,,,SOLOMON ISLANDS,TINAKULA, SANTA CRUZ ISLANDS,-10.38,165.8,82
1986,1967,19,38,7,RUSSIA,S. KURIL ISLANDS,45.53,151.11,86,
1987,1967,11,33,5.5,INDONESIA,MAKASSAR STRAIT,-3.7,119.3,83,
1988,1967,12,100,6.1,INDONESIA,NORTHEAST SUMATRA,5.5,97.3,60,
3349,1967,29,10,6.5,VENEZUELA,CARACAS,10.6,-67.3,74,0.08
1989,1967,13,30,6.4,PAPUA NEW GUINEA,BISMARCK SEA,-4.4,152.5,82,0.1
1990,1967,3,40,7,PERU,CENTRAL PERU,-10.6,-79.8,89,2
5644,1967,,,,USA,GREWINGK, AK,59.621,-151.106,87
1991,1967,15,35,5.9,CHILE,NORTHERN CHILE,-28.78,-71.19,89,
1992,1967,4,,,ANTARCTICA,TELEPHONE BAY, DECEPCION ISLAND,-63,-60.5,89
5492,1967,4,,,USA TERRITORY,NORTHERN COAST OF PUERTO RICO,,,74,
1994,1967,21,33,7.5,CHILE,NORTHERN CHILE,-21.7,-69.5,89,
1996,1968,29,40,7.3,RUSSIA,S. KURIL ISLANDS,43.586,146.701,86,0.18
1997,1968,19,15,7.2,GREECE,LEMNOS ISLAND, NORTH AEGEAN SEA,39.368,24.957,50
1998,1968,1,30,7.5,JAPAN,SEIKAIDO,32.3,132.5,85,3.07
3798,1968,18,7,4.6,ITALY,LIGURIA-COTE D'AZUR,44.08,8,50,3
2878,1968,4,,,CHILE,EASTER ISLAND REGION,-27.15,-109.45,89,
2000,1968,16,7,8.2,JAPAN,OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,85,6
2438,1968,16,33,7.5,JAPAN,OFF COAST OF HONSHU ISLAND,41.5,142.7,85,0.58
2001,1968,12,44,7.2,JAPAN,SANRIKU,39.4,143.1,85,0.95
2002,1968,25,60,7.3,NEW ZEALAND,KERMADEC ISLANDS,-30.8,-178.4,81,0.05
2003,1968,1,36,7.3,PHILIPPINES,E. LUZON ISLAND,16.5,122.2,84,0.16
2004,1968,5,10,6.5,JAPAN,SEIKAIDO-NANKAIDO,33.3,132.2,85,0.03
2006,1968,10,25,7.6,INDONESIA,N. MOLUCCAS ISLANDS,1.4,126.2,83,0.4
2007,1968,14,23,7.8,INDONESIA,BANDA SEA,0.2,119.8,83,10
3297,1968,3,38,6.6,TURKEY,BLACK SEA,41.8,32.3,40,3
2009,1968,20,107,6.2,VENEZUELA,CARUPANO,10.5,-62.6,74,
2010,1968,25,138,7,MEXICO,S. MEXICO-GUATEMALA-NICARAGUA,15.6,-92.6,88,2
2011,1969,23,13,6.9,INDONESIA,MAKASSAR STRAIT,-3.1,118.9,83,4
2012,1969,28,22,7.8,PORTUGAL,PORTUGAL,36.017,-10.95,73,0.9
2872,1969,21,,,PHILIPPINES,LUZON ISLAND,19.077,122.202,84,
3646,1969,31,,7,EGYPT,GULF OF SUEZ,27.7,34,30,
3350,1969,12,,,SWEDEN,NORSALV RIVER,59.4,13.5,73,5
2013,1969,21,41,6.5,JAPAN,RYUKYU ISLANDS,32.2,132.1,85,0.1
2014,1969,2,17,5.4,PAPUA NEW GUINEA,BISMARCK SEA,-6.6,146.9,82,
2015,1969,11,30,8.2,RUSSIA,S. KURIL ISLANDS,43.6,147.9,86,5
2016,1969,22,51,7.7,RUSSIA,KAMCHATKA,57.7,163.6,86,15
2018,1969,25,7,7.2,GUADELOUPE (FRENCH TERRITORY),GRAND BOURG,15.8,-59.7,74,0.46
2019,1970,10,73,7.6,PHILIPPINES,PHILIPPINE TRENCH,6.8,126.7,84,0.06
3309,1970,11,29,6,USA,ANDREANOF ISLANDS, AK,57.5,-153.9,87
2020,1970,7,40,7.3,PHILIPPINES,PHILIPPINE SEA,15.78,121.71,84,
3073,1970,14,44,6.5,RUSSIA,CASPIAN SEA,43,47.1,40,
2021,1970,31,43,7.9,PERU,N. PERU,-9.2,-78.8,89,0.38
2022,1970,14,10,6,CHILE,SOUTHERN CHILE,-52,-73.8,89,
2023,1970,19,44,6.4,CHILE,NORTHERN CHILE,-22.28,-70.55,89,
2025,1970,25,34,7,JAPAN,SEIKAIDO,32.2,131.7,85,0.32
2026,1970,28,,5.1,NEW ZEALAND,NEW ZEALAND,-44.64,173.62,81,1
2027,1970,30,33,5.3,PHILIPPINES,PHILIPPINE TRENCH,20.6,122,84,
2028,1970,31,8,7.3,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-4.907,145.471,82,3
2030,1970,28,33,6,CHILE,NORTHERN CHILE,-20.94,-69.81,89,
2303,1970,4,7,5.1,RUSSIA,BLACK SEA,43.84,39.34,40,0.8
5535,1971,19,,,PERU,CHUNGAR,-11.116,-76.5,89,30
2031,1971,2,30,7.1,USA,ANDREANOF ISLANDS, AK,51.228,-177.173,87
2033,1971,9,58,7.8,CHILE,CENTRAL CHILE,-32.5,-71.2,89,1.2
2034,1971,14,47,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-5.5,153.9,82,6
2035,1971,26,48,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-4.9,153.2,82,10
2036,1971,2,51,7.3,JAPAN,JAPAN TRENCH,41.4,143.5,85,0.51
2431,1971,5,9,7.1,RUSSIA,TATAR STRAIT,46.5,141.2,86,2
2430,1971,6,29,5.5,RUSSIA,TATAR STRAIT,46.7,141.4,86,0.32
2043,1971,6,,,SOLOMON ISLANDS,TINAKULA, SANTA CRUZ ISLANDS,-10.38,165.8,82
2038,1971,8,6,6.6,RUSSIA,TATAR STRAIT,46.4,141.1,86,0.09
2039,1971,8,16,6.2,RUSSIA,TATAR STRAIT,46.3,140.9,86,0.07
2040,1971,25,115,7,PAPUA NEW GUINEA,BISMARCK SEA,-6.5,146.6,82,1.8
2041,1971,27,21,6,RUSSIA,TATAR STRAIT,46.4,141.1,86,0.03
2042,1971,6,21,5.7,USA,RAT ISLANDS, ALEUTIAN ISLANDS, AK,51.5,179.1
2044,1971,15,33,7.8,RUSSIA,KAMCHATKA,56,163.3,86,0.47
2045,1972,25,33,7.5,TAIWAN,E. TAIWAN,22.5,122.3,84,0.05
2046,1972,29,56,7.4,JAPAN,EAST OFF HACHIJO ISLAND,33.3,140.8,85,0.42
2048,1972,8,39,6.6,CHILE,CENTRAL CHILE,-30.5,-71.8,89,
2049,1972,30,25,7.6,USA,SE. ALASKA, AK,56.82,-135.685,87
2051,1972,17,10,7.1,PAPUA NEW GUINEA,SOLOMON SEA,-6,152.9,82,0.6
2052,1972,26,,,PAPUA NEW GUINEA,SOLOMON SEA,-6.7,147,82,1.5
2053,1972,6,15,5.2,JAPAN,JAPAN,32.9,130.3,85,
2054,1972,9,,,PAPUA NEW GUINEA,RITTER ISLAND, PAPUA NEW GUINEA,-5.52,148.121,82
2055,1972,2,33,7.4,PHILIPPINES,MINDANAO ISLAND, PHILIPPINES,6.5,126.6,84
2056,1972,4,66,7.4,JAPAN,CHICHI JIMA,33.3,140.7,85,0.5
2057,1972,29,60,5.4,CHILE,CENTRAL CHILE,-30.6,-71,89,
2058,1973,30,43,7.5,MEXICO,S. MEXICO,18.48,-103,88,1.13
2059,1973,28,27,7.2,RUSSIA,N. KURIL ISLANDS,50.5,156.6,86,1.5
3226,1973,17,33,7.5,PHILIPPINES,QUEZON,13.4,122.8,84,1.3
2060,1973,17,48,7.7,JAPAN,HOKKAIDO ISLAND,43.2,145.8,85,5.96
2061,1973,24,50,7.1,RUSSIA,S. KURIL ISLANDS,43.3,146.4,86,0.64
3506,1973,26,,6.6,RUSSIA,S. KURIL ISLANDS,43.2,146.6,86,0.21
2062,1973,5,14,6.7,CHILE,CENTRAL CHILE,-32.5,-71.5,89,0.4
2063,1974,31,34,7,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.5,155.9,82,1.5
2064,1974,1,40,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.4,155.6,82,4.5
2065,1974,8,2,6.7,JAPAN,TOKAIDO,34.6,138.7,85,0.2
2066,1974,18,36,7.1,CHILE,SOUTHERN CHILE,-38.5,-73.4,89,
2067,1974,27,43,6.7,RUSSIA,S. KURIL ISLANDS,43.2,146.7,86,0.37
2068,1974,3,13,8.1,PERU,CENTRAL PERU,-12.27,-77.79,89,0.92
5568,1974,17,,,CANADA,KITIMAT INLET, BRITISH COLOMBIA,54,-128.7,88
2069,1974,17,70,,PAPUA NEW GUINEA,RITTER ISLAND, PAPUA NEW GUINEA,-5.52,148.121,82
2071,1974,28,22,6.2,PAKISTAN,PAKISTAN,35.1,72.9,60,
2072,1975,15,33,5.9,INDONESIA,BANDA SEA,-5,130,83,
2074,1975,13,4,6.9,CHILE,CENTRAL CHILE,-29.9,-71.3,89,
2879,1975,27,,,CANADA,KITIMAT INLET, BRITISH COLUMBIA,53.98,-128.68,88
2567,1975,26,33,7.7,ATLANTIC OCEAN,AZORES GIBRALTAR FRACTURE ZONE,35.997,-17.649,73,0.76
2075,1975,10,15,7,RUSSIA,S. KURIL ISLANDS,43.024,147.734,86,5.5
2076,1975,20,49,7.9,PAPUA NEW GUINEA,SOLOMON SEA,-6.59,155.054,82,2
2079,1975,31,50,7.6,PHILIPPINES,PHILIPPINE TRENCH,12.54,125.993,84,3
2080,1975,29,2,7.7,USA,HAWAII,19.451,-155.033,80,14.3
5661,1975,16,33,4.9,FIJI,FIJI ISLANDS,-18.672,178.464,81,0.25
2081,1975,26,33,7.8,SAMOA,SAMOA ISLANDS,-16.265,-172.467,81,0.38
2083,1976,14,33,8,NEW ZEALAND,KERMADEC ISLANDS,-28.427,-177.657,81,0.9
2084,1976,21,41,7,RUSSIA,S. KURIL ISLANDS,44.915,149.123,86,0.38
2085,1976,4,5,7.5,GUATEMALA,GUATEMALA,15.324,-89.101,74,0.12
2086,1976,16,33,8,PHILIPPINES,MORO GULF,6.292,124.09,84,9
2088,1977,2,33,7.6,SAMOA,SAMOA ISLANDS,-16.696,-172.095,81,0.08
2089,1977,20,33,6.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.828,163.323,82,0.15
2568,1977,20,19,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.89,160.348,82,
2090,1977,21,33,8.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.965,160.731,82,0.04
2091,1977,22,65,7.2,TONGA,TONGA TRENCH,-22.878,-175.9,81,0.4
2092,1977,19,33,8,INDONESIA,SUNDA ISLANDS,-11.085,118.464,60,15
2093,1977,20,,5.5,PAPUA NEW GUINEA,ADMIRALTY ISLANDS,-1.1,146.2,82,0.5
2094,1977,28,33,5.5,PAPUA NEW GUINEA,ADMIRALTY ISLANDS,-1.081,146.23,82,0.6
2095,1977,10,33,7.2,TONGA,TONGA TRENCH,-25.856,-175.406,81,0.03
2096,1978,14,,6.6,JAPAN,TOKAIDO,34.809,139.259,85,0.35
2097,1978,22,33,6.7,RUSSIA,S. KURIL ISLANDS,44.026,149.002,86,0.07
2569,1978,22,33,6.6,RUSSIA,S. KURIL ISLANDS,44.14,149.029,86,0.05
2099,1978,23,46,6.8,RUSSIA,S. KURIL ISLANDS,44.209,148.971,86,0.17
2101,1978,23,33,7.5,RUSSIA,S. KURIL ISLANDS,44.932,148.439,86,0.3
2103,1978,24,33,7.6,RUSSIA,S. KURIL ISLANDS,44.244,148.862,86,0.65
2105,1978,12,44,7.7,JAPAN,SANRIKU,38.19,142.03,85,0.6
5448,1978,12,,,INDIA,INDIA,,,60,
2106,1978,14,24,6.9,PHILIPPINES,MINDANAO ISLAND, PHILIPPINES,8.249,122.403,84
2107,1978,20,3,6.4,GREECE,THESSALONIKI (SALONICA), GREECE,40.739,23.229,50
2913,1978,21,,,ITALY,EASTERN ITALY, ADRIATIC SEA,42,16,50
2108,1978,23,17,7.4,TAIWAN,TAIWAN,22.282,121.512,84,0.05
4277,1978,14,30,4.4,SPAIN,CADIZ,36.37,-6.98,73,0.12
5513,1978,10,,,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,-43.08,172.97,81,
2109,1978,29,18,7.8,MEXICO,MEXICO,16.01,-96.591,88,1.5
2110,1979,20,10,6.4,JAPAN,IWATE, JAPAN,40.232,143.703,85
2111,1979,28,15,7.5,USA,SE. ALASKA, AK,60.691,-141.671,87
2112,1979,14,49,7.6,MEXICO,S. MEXICO,17.813,-101.276,88,1.3
2914,1979,9,10,5.3,SERBIA AND MONTENEGRO,MONTENEGRO: BAR ULCINJ,41.956,19.023,50,
2113,1979,15,10,6.9,SERBIA AND MONTENEGRO,MONTENEGRO,42.096,19.209,50,0.6
2915,1979,15,33,5.6,GREECE,CRETE,34.53,24.437,50,
2115,1979,18,,,INDONESIA,LOMBLEN ISLAND [LEMBATA],-8.6,123.5,60,9
2118,1979,9,,,INDONESIA,LOMBLEN ISLAND [LEMBATA],-8.5,123.5,60,
2390,1979,3,0,5,VENEZUELA,PUERTO CUMAREBO,11.517,-69.5,74,
2119,1979,12,5,7.9,INDONESIA,IRIAN JAYA,-1.679,136.04,83,2
4246,1979,6,,,NORWAY,NORTHERN NORWAY,65.117,12.333,73,2
2120,1979,16,,,FRANCE,FRENCH RIVIERA (LIGURIAN SEA),43.7,7.25,50,10
2121,1979,16,33,6.9,FIJI,FIJI ISLANDS,-16.76,179.984,81,
2122,1979,12,24,7.7,COLOMBIA,COLOMBIA: OFF SHORE, PACIFIC OCEAN,1.598,-79.358,89
4259,1980,1,10,7.2,PORTUGAL,AZORES,38.815,-27.78,73,
2123,1980,23,44,7,RUSSIA,S. KURIL ISLANDS,43.53,146.753,86,0.16
3018,1980,18,,,USA,WASHINGTON,46.2,-122.18,88,250
2124,1980,29,15,6.2,JAPAN,HONSHU ISLAND,34.808,139.181,85,0.56
2125,1980,17,33,7.9,SOLOMON ISLANDS,SOLOMON ISLANDS,-12.525,165.916,82,0.14
2916,1980,10,10,7.7,ALGERIA,EL ASNAM,36.195,1.354,50,0.7
2126,1981,18,,6.9,JAPAN,E. HONSHU ISLAND,38.64,142.75,85,0.37
2128,1981,24,33,6.7,GREECE,ATHENS-EASTERN GULF OF CORINTH,38.222,22.934,50,0.3
5417,1981,4,29,6.4,GREECE,GULF OF CORINTH,38.209,23.288,50,1
2129,1981,11,,,SOUTH AFRICA,AGULHAS BANK,-35.616,20.267,70,0.29
2130,1981,25,33,7.6,NEW ZEALAND,NEW ZEALAND,-48.786,164.357,81,0.3
2131,1981,1,25,7.7,SAMOA,SAMOA ISLANDS,-14.96,-173.085,81,1
2132,1981,25,28,7.3,MEXICO,MEXICO,18.084,-102.084,88,0.09
2589,1982,11,46,7.1,PHILIPPINES,PHILIPPINES,13.752,124.358,84,0.1
2134,1982,24,52,5.4,INDONESIA,JAVA TRENCH,4.374,97.755,60,0.1
2343,1982,11,33,6.6,INDONESIA,SUMBAWA ISLAND,-9.265,118.479,60,0.1
2135,1982,21,44,6.9,JAPAN,HOKKAIDO ISLAND,42.158,142.361,85,1.3
2136,1982,23,37,7.2,JAPAN,IBARAKI, JAPAN,36.194,141.702,85
2137,1982,19,33,7.5,TONGA,KERMADEC ISLANDS,-24.133,-175.864,81,0.2
2689,1982,25,33,6,INDONESIA,FLORES SEA,-8.405,123.08,60,
2139,1982,28,22,6.4,JAPAN,S. OF HONSHU ISLAND,33.826,139.434,85,0.19
2917,1983,17,,7.2,GREECE,IONIAN SEA,38.026,20.228,50,
2140,1983,12,17,6.9,INDONESIA,BANDA SEA,-4.056,127.924,83,3
2141,1983,18,89,7.9,PAPUA NEW GUINEA,NEW BRITAIN,-4.883,153.581,82,0.3
2142,1983,26,24,7.8,JAPAN,NOSHIRO, JAPAN,40.462,139.102,85
2144,1983,9,26,5.9,JAPAN,NOSHIRO, JAPAN,40.249,138.948,85
2145,1983,21,10,6.9,JAPAN,N. HONSHU ISLAND,41.346,139.099,85,1
2146,1983,6,2,7,GREECE,NORTH AEGEAN SEA,40.142,24.766,50,
2147,1983,17,63,7.1,RUSSIA,KAMCHATKA BAY, RUSSIA,55.867,161.287,86
2148,1983,17,29,6.6,PHILIPPINES,LUZON ISLAND,18.231,120.86,84,0.1
4702,1983,17,,,INDONESIA,LESSER SUNDA ISLANDS,-8.54,123.59,83,
4248,1983,18,,,NORWAY,WESTERN NORWAY,61.233,7.717,73,7
2149,1983,4,15,7.7,CHILE,NORTHERN CHILE,-26.535,-70.563,89,0.2
2150,1983,30,10,7.7,UK TERRITORY,CHAGOS ARCHIPELAGO REGION,-6.852,72.11,60,1.5
2151,1984,8,33,6.8,INDONESIA,SULAWESI,-2.823,118.806,83,0.1
2152,1984,11,29,5.4,GREECE,CORINTHOS GULF, GREECE,38.396,22.094,50
2153,1984,24,44,7.2,RUSSIA,S. KURIL ISLANDS,44.117,148.192,86,0.2
2154,1984,13,41,5.5,JAPAN,TORI SHIMA, OKINAWA,31.448,140.036,85
2155,1984,6,46,7,JAPAN,KYUSHU, JAPAN,32.386,131.945,85
2156,1984,18,48,6.9,JAPAN,HONSHU ISLAND,34.006,141.5,85,0.13
2157,1984,28,33,6.8,RUSSIA,KAMCHATKA,56.194,163.46,86,0.2
2158,1985,3,33,8,CHILE,CENTRAL CHILE,-33.132,-71.708,89,3.5
2159,1985,16,13,6.4,GUADELOUPE (FRENCH TERRITORY),GUADELOUPE,17.013,-62.448,74,0.12
2160,1985,13,99,6.2,INDONESIA,BALI ISLAND,-9.245,114.185,60,2
2161,1985,3,46,7.3,PAPUA NEW GUINEA,NEW IRELAND,-4.439,152.828,82,1.3
2162,1985,19,28,8,MEXICO,MEXICO,18.19,-102.533,88,3
2163,1985,21,31,7.6,MEXICO,MEXICO,17.802,-101.647,88,1.2
2164,1986,7,31,8,USA,ANDREANOF ISLANDS, AK,51.52,-174.776,87
2165,1986,17,15,6.4,USA,ANDREANOF ISLANDS, AK,52.327,-174.504,87
2166,1986,20,29,7.8,NEW ZEALAND,KERMADEC ISLANDS,-28.117,-176.367,81,0.22
3507,1986,14,34,7.8,TAIWAN,TAIWAN,23.901,121.574,84,0.3
2167,1987,6,48,6.7,JAPAN,E. HONSHU ISLAND,36.988,141.689,85,0.1
2168,1987,8,55,7.4,PAPUA NEW GUINEA,SOLOMON SEA,-6.088,147.689,82,1.5
4237,1987,21,,,NORWAY,WESTERN NORWAY,62.2,6.65,73,3
2169,1987,5,62,7.6,CHILE,NORTHERN CHILE,-24.388,-70.161,89,0.2
2170,1987,18,54,6.7,JAPAN,KYUSHU ISLAND,32.034,131.837,85,0.04
2171,1987,24,23,5.1,JAPAN,HONSHU ISLAND,37.447,137.865,85,0.16
5514,1987,20,,,NEW ZEALAND,DEEP COVE,-45.46,167.15,81,
2172,1987,18,75,6.3,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.717,162.33,82,0.1
2173,1987,6,48,6.7,VANUATU,VANUATU ISLANDS,-14.074,167.828,82,0.1
2174,1987,6,16,7.3,TONGA,TONGA ISLANDS,-17.94,-172.225,81,0.25
2175,1987,12,25,7,PAPUA NEW GUINEA,SOLOMON SEA,-7.288,154.371,82,0.1
2176,1987,16,48,7.4,PAPUA NEW GUINEA,SOLOMON SEA,-6.266,149.06,82,0.1
2177,1987,17,10,7.2,USA,GULF OF ALASKA, AK,58.586,-143.27,87
2178,1987,26,33,6.6,INDONESIA,TIMOR SEA,-8.247,124.155,60,0.1
2179,1987,30,10,7.9,USA,GULF OF ALASKA, AK,58.679,-142.786,87
2180,1988,5,37,7.2,CHILE,NORTHERN CHILE,-24.753,-70.433,89,0.1
2181,1988,6,15,7.8,USA,GULF OF ALASKA, AK,57.262,-142.747,87
2591,1988,20,,,ITALY,LA FOSSA VOLCANO, VULCANO IS.,38.4,14.967,50
2688,1988,30,,,USA,S. CALIFORNIA,,,88,
2182,1988,24,53,5.4,PHILIPPINES,NORTH OF LUZON ISLAND,18.606,121.013,84,1.03
2183,1988,5,53,6.8,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-5.964,148.78,82,0.1
