ID,YEAR,DAY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,LOCATION_NAME,latitude,longitude,REGION_CODE,MAXIMUM_WATER_HEIGHT
1657,1933,8,33,6,RUSSIA,KHARIMKOTAN, N. KURIL ISLANDS,49.12,154.508,86
1659,1933,23,40,7.6,CHILE,NORTHERN CHILE,-20,-71,89,
1661,1933,2,35,8.4,JAPAN,SANRIKU,39.224,144.622,85,29
1662,1933,11,16,6.3,USA,S. CALIFORNIA,33.616,-117.966,88,0.1
1663,1933,23,,6.4,GREECE,COS, DODECANESE,36.8,27.2,50
3603,1933,19,,,TOGO,GOLD COAST,6.9,0.6,77,
1664,1933,18,20,7.1,JAPAN,SANRIKU,38.1,142.4,85,0.2
1665,1933,2,33,6.9,ECUADOR,ECUADOR,-2,-81,89,
4882,1933,12,,,PAPUA NEW GUINEA,BISMARCK SEA,-5,151,82,
1666,1933,25,,,PHILIPPINES,E. SAMAR ISLAND,12.77,124.05,84,
1668,1934,15,35,8,NEPAL,BIHAR-NEPAL, GANGES RIVER,26.773,86.76,60
1669,1934,14,55,7.9,PHILIPPINES,SOUTH CHINA SEA,17.5,119,84,
3544,1934,7,,,NORWAY,TAFJORD,62.27,7.4,73,62.3
2771,1934,3,,,ICELAND,ICELAND,66,-18.25,73,
1671,1934,18,60,7.7,PANAMA,COSTA RICA-PANAMA,8,-82.5,88,
1673,1934,18,35,7.8,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.907,166.731,82,0.65
1674,1934,21,35,7.2,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.139,165.503,82,
1675,1934,21,,,USA,S. CALIFORNIA,33.7,-118.2,88,12
3308,1934,30,5,7,MEXICO,MEXICO,18.5,-105.5,88,0.11
1676,1934,4,130,6.9,CHILE,NORTHERN CHILE,-19.5,-69.5,89,
1677,1934,12,,,PAPUA NEW GUINEA,BISMARCK SEA,-4.2,152.2,82,
1679,1935,30,,7.5,PAKISTAN,QUETTA,29.5,66.8,60,
1678,1935,19,,6.5,JAPAN,JAPAN,36.6,141.4,85,0.2
1683,1935,20,30,7.8,PAPUA NEW GUINEA,BISMARCK SEA,-3.824,141.416,82,
1684,1935,12,10,7.2,JAPAN,SANRIKU,39.9,143.7,85,0.3
1685,1935,18,10,7,JAPAN,SANRIKU,40.7,144.3,85,0.2
1687,1935,21,8,,USA,HAWAII,19.5,-155.5,80,
1688,1935,25,,6.5,INDONESIA,CELEBES SEA,5.5,94,60,
3580,1935,18,,6,CHINA,SICHUAN PROVINCE,28.7,103.6,84,
1689,1935,28,33,7.9,INDONESIA,SW. SUMATRA,0.001,98.25,60,
5541,1936,2,,,NEW ZEALAND,GOOSE BAY, SOUTH ISLAND,,,81
5362,1936,25,,,NAURU,NAURU, OCEAN ISLAND,-0.5,166.9,82
1690,1936,1,60,7.7,INDONESIA,SULAWESI,4.5,126.5,83,3
1691,1936,13,60,7.3,CHILE,NORTHERN CHILE,-24.5,-70,89,1
1692,1936,23,,7.3,INDONESIA,OFF NORTHWEST COAST,6.1,94.7,60,
3543,1936,13,,,NORWAY,LOEN,61.87,6.851,73,74
1694,1936,27,,,USA,LITUYA BAY, AK,58.6,-137.1,87
1695,1936,2,40,7.7,JAPAN,SANRIKU,38.2,142.2,85,0.7
1696,1936,13,,7.3,RUSSIA,KAMCHATKA,55.2,164,86,13
1698,1937,29,,,PAPUA NEW GUINEA,RABAUL,-4.271,152.203,82,2.5
1699,1937,20,60,7.5,PHILIPPINES,W. LUZON ISLAND,14.5,121.5,84,
1701,1937,21,33,5.7,RUSSIA,KAMCHATKA,56,162.5,86,
1700,1937,21,,5.8,USA,BERING SEA, AK,58,-165,87
1702,1937,22,,5.8,RUSSIA,KAMCHATKA,58,165,86,
1703,1937,6,33,6,INDONESIA,BANDA SEA,-3,132.3,83,0.5
3638,1938,28,,,CONGO,NYAMURAGIRA,-1.408,29.2,78,
1704,1938,1,,8.5,INDONESIA,BANDA SEA,-5.25,130.5,83,1
1705,1938,13,,6,INDONESIA,BANDA SEA,-3,132.3,83,0.5
1706,1938,6,,,PAPUA NEW GUINEA,SOLOMON SEA,-5.1,153.1,82,0.03
1707,1938,22,16,6.3,CANADA,BRITISH COLUMBIA,52.2,-131.9,88,
4238,1938,,,,NORWAY,WESTERN NORWAY,62.333,6.967,73,
1708,1938,12,,7.5,PAPUA NEW GUINEA,SOLOMON SEA,-6,147.8,82,
1710,1938,19,,7.6,INDONESIA,MAKASSAR STRAIT,-1,120,83,3
1711,1938,23,,7.1,JAPAN,JAPAN TRENCH,36.7,141.4,85,0.83
1714,1938,28,,6.1,JAPAN,E. HOKKAIDO ISLAND,43.6,144.3,85,0.9
1715,1938,10,35,7.6,JAPAN,RYUKYU ISLANDS,25.321,125.115,85,1.5
2463,1938,21,,,USA,NEW JERSEY COAST,39.95,-74.12,75,
1716,1938,5,30,7.7,JAPAN,SANRIKU,37.1,141.7,85,0.57
1717,1938,5,30,7.6,JAPAN,SANRIKU,37.2,141.7,85,0.56
1718,1938,6,0,7.5,JAPAN,OFF FUKUSHIMA PREFECTURE,37.5,141.8,85,1.26
1719,1938,6,20,7.1,JAPAN,OFF FUKUSHIMA PREFECTURE,37,141.7,85,1.25
1721,1938,9,20,6.5,JAPAN,SANRIKU,37.6,141.2,85,
1722,1938,10,25,8.2,USA,SHUMAGIN ISLANDS, AK,55.48,-158.37,87
1725,1938,13,60,6,JAPAN,SANRIKU,37,141.5,85,0.75
1726,1938,16,30,6.9,JAPAN,SANRIKU,37.4,141.6,85,
1727,1938,22,10,6.9,JAPAN,SANRIKU,36.7,142.1,85,0.3
1728,1938,30,50,7,JAPAN,SANRIKU,37,142.2,85,0.2
1729,1939,25,60,8.3,CHILE,CENTRAL CHILE,-36.25,-72.25,89,
3404,1939,27,15,,ITALY,CALABRIAN ARC,38.5,14.7,50,
1730,1939,30,35,7.7,PAPUA NEW GUINEA,SOLOMON SEA,-7.08,155.386,82,
1731,1939,20,20,6.6,JAPAN,SEIKAIDO,32.3,132,85,0.8
1732,1939,18,100,7.4,CHILE,NORTHERN CHILE,-27,-70.5,89,
1733,1939,30,35,7.9,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.295,159.234,82,10.5
